can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$210.75",03/18/2013,"$16,114.09",Support,Blast Emails 3/18 to 3/19,Mailsquadron,861115,N,68779,13961175892,03/18/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$1,800.00",03/14/2013,"$12,620.00",Support,Radio Advertising 3/14 - 3/19 - Special,"Wierzbicki, Joe",860784,N,68773,13961151003,03/14/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$421.34",03/18/2013,"$16,114.09",Support,Blast Emails 3/18 to 3/19,Paramount Communication Group,861115,N,68777,13961175890,03/18/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$2,200.00",03/18/2013,"$16,114.09",Support,Radio Advertising 3/18 to 3/19,"Wierzbicki, Joe",861115,N,68780,13961175892,03/18/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$600.00",03/18/2013,"$16,114.09",Support,Radio Advertising 3/18 to 3/19,"Gill, Ryan",861115,N,68781,13961175893,03/18/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$62.00",03/18/2013,"$16,114.09",Support,Blast Emails 3/18 to 3/19,Mail Chimp,861115,N,68778,13961175890,03/18/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$1,600.00",03/14/2013,"$12,620.00",Support,Radio Advertising 3/14-3/19 - Special El,"Gill, Ryan",860784,N,68774,13961151003,03/14/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$13,440.00",03/30/2013,"$85,347.58",Support,Estimated Payment for Transportation Services,William Costa,863660,N,D23754,13961237900,04/01/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$10,000.00",03/13/2013,"$20,701.00",Support,Motor Coach Rental & Wrapping,Allstar Coaches,860950,N,D23623,13961166515,03/15/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$701.00",02/20/2013,"$20,701.00",Support,Rally Signs,Financial Innovations,860950,N,D23622,13961166515,03/15/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$2,560.00",03/30/2013,"$85,347.58",Support,Estimated Payment for Transportation Services,Michael Papagni,863660,N,D23755,13961237902,04/01/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$250.04",03/29/2013,"$85,347.58",Support,Gas for Motor Coach,7-Eleven,863660,N,D23751,13961237901,04/01/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$239.87",03/30/2013,"$85,347.58",Support,Gas for Motor Coach,Hess,863660,N,D23753,13961237900,04/01/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$231.83",03/30/2013,"$85,347.58",Support,Gas for Motor Coach,Shell,863660,N,D23752,13961237901,04/01/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$14,208.00",03/28/2013,"$68,625.84",Support,Estimated Payment for Transportation Services,Michael J. Murphy,863513,N,D23746,13961233367,03/29/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$5,000.00",03/25/2013,"$68,625.84",Support,Motor Coach Rental & Wrapping,Allstar Coaches,863513,N,D23745,13961233367,03/29/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$1,152.00",03/28/2013,"$68,625.84",Support,Estimated Payment for Transportation Services,Robert E. Boyd,863513,N,D23747,13961233368,03/29/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$277.42",03/28/2013,"$68,625.84",Support,Gas for Motor Coach,Allen's,863513,N,D23750,13961233369,03/29/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$200.00",03/27/2013,"$68,625.84",Support,Tolls,EZ Pass,863513,N,D23748,13961233368,03/29/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$10,000.00",03/14/2013,"$20,701.00",Support,Motor Coach Rental & Wrapping,Allstar Coaches,860950,N,D23624,13961166516,03/15/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$8,260.81",03/22/2013,"$47,788.42",Support,Motor Coach Rental & Wrapping,Allstar Coaches,862994,N,D23743,13961221913,03/24/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$8,260.81",03/21/2013,"$47,788.42",Support,Motor Coach Rental & Wrapping,Allstar Coaches,862994,N,D23742,13961221913,03/24/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$565.80",03/22/2013,"$47,788.42",Support,Travel,JetBlue,862994,N,D23744,13961221914,03/24/2013, 
S0MA00083,"LYNCH, STEPHEN F",C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,O,MA,00,S,Dem,"$10,000.00",03/18/2013,"$30,701.00",Support,Motor Coach Rental & Wrapping,Allstar Coaches,862161,N,D23741,13961189280,03/20/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$401,641.88",01/30/2013,"$401,641.88",Oppose,Media Buy and Production,SKDKnickerbocker,854196,N,SE.4341,13960783514,02/01/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$382,429.75",02/04/2013,"$784,071.63",Oppose,Media Buy,SKDKnickerbocker,854704,N,SE.4350,13960797222,02/06/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$382,429.75",02/04/2013,"$784,071.63",Oppose,Media Buy,SKDKnickerbocker,854823,A1,SE.4350,13960810456,02/07/2013,854704
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/06/2013,"$820,804.13",Oppose,Direct Mail Services,SKDKnickerbocker,854943,N,SE.4355,13960812315,02/08/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/08/2013,"$857,536.63",Oppose,Direct Mail Services,SKDKnickerbocker,855040,N,SE.4357,13960813501,02/09/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$414,238.33",02/09/2013,"$1,271,774.96",Oppose,Media Buy and Production,SKDKnickerbocker,855068,N,SE.4360,13960815288,02/10/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$25,000.00",02/11/2013,"$1,333,507.46",Oppose,Internet Advertising and Production,SKDKnickerbocker,855278,N,SE.4365,13960819884,02/12/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/11/2013,"$1,308,507.46",Oppose,Direct Mail Services,SKDKnickerbocker,855278,N,SE.4364,13960819884,02/12/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/12/2013,"$1,350,239.96",Oppose,Direct Mail Services,SKDKnickerbocker,855344,N,SE.4368,13960821108,02/13/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/12/2013,"$1,370,239.96",Oppose,Direct Mail Services,SKDKnickerbocker,855355,A1,SE.4387,13960821229,02/13/2013,855344
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/14/2013,"$1,406,972.46",Oppose,Direct Mail Services,SKDKnickerbocker,855691,N,SE.4390,13960939892,02/15/2013, 
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$730,335.94",02/15/2013,"$2,146,122.70",Support,Media Buy and Production; also opposes Deborah Halvorson and Toi Hutchinson,SKDKnickerbocker,855743,N,SE.4402,13960940501,02/16/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$8,814.30",02/15/2013,"$1,415,786.76",Oppose,Direct Mail Services,SKDKnickerbocker,855743,N,SE.4400,13960940501,02/16/2013, 
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$13,204.06",02/18/2013,"$2,159,326.76",Support,Media Production; also opposes Deborah Halvorson,SKDKnickerbocker,857114,N,SE.4405,13960951260,02/19/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/11/2013,"$1,308,507.46",Oppose,Direct Mail Services,SKDKnickerbocker,857757,A1,SE.4409,13961061775,02/20/2013,855278
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/12/2013,"$1,345,239.96",Oppose,Direct Mail Services,SKDKnickerbocker,857767,A2,SE.4387,13961062235,02/20/2013,855355
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/14/2013,"$1,381,972.46",Oppose,Direct Mail Services,SKDKnickerbocker,857769,A1,SE.4390,13961062348,02/20/2013,855691
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$730,335.94",02/15/2013,"$2,121,122.70",Support,Media Buy and Production; also opposes Deborah Halvorson and Toi Hutchinson,SKDKnickerbocker,857772,A1,SE.4402,13961062375,02/20/2013,855743
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$8,814.30",02/15/2013,"$1,390,786.76",Oppose,Direct Mail Services,SKDKnickerbocker,857772,A1,SE.4400,13961062375,02/20/2013,855743
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$13,204.06",02/18/2013,"$2,134,326.76",Support,Media Production; also opposes Deborah Halvorson,SKDKnickerbocker,857773,A1,SE.4405,13961062376,02/20/2013,857114
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$8,814.30",02/19/2013,"$2,143,141.06",Oppose,Direct Mail Services,SKDKnickerbocker,857775,N,SE.4414,13961062384,02/20/2013, 
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$14,822.10",02/21/2013,"$2,157,963.16",Support,Direct Mail Services,SKDKnickerbocker,858063,N,SE.4420,13961070395,02/22/2013, 
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$33,943.12",02/21/2013,"$2,191,906.28",Support,Media Production,SKDKnickerbocker,858063,N,SE.4422,13961070395,02/22/2013, 
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/22/2013,"$2,228,638.78",Support,Direct Mail Services; also opposes Deborah Halvorson,SKDKnickerbocker,858120,N,SE.4426,13961071502,02/23/2013, 
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$404,644.32",01/30/2013,"$404,644.32",Oppose,Media Buy and Production,SKDKnickerbocker,862180,A1,SE.4439,13940492325,03/20/2013,854196
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$382,429.75",02/04/2013,"$787,074.07",Oppose,Media Buy,SKDKnickerbocker,862183,A2,SE.4350,13940492338,03/20/2013,854823
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/06/2013,"$823,806.57",Oppose,Direct Mail Services,SKDKnickerbocker,862185,A1,SE.4355,13940492370,03/20/2013,854943
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/08/2013,"$860,539.07",Oppose,Direct Mail Services,SKDKnickerbocker,862188,A1,SE.4357,13940492372,03/20/2013,855040
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$415,507.44",02/09/2013,"$1,276,046.51",Oppose,Media Buy and Production,SKDKnickerbocker,862191,A1,SE.4441,13940492374,03/20/2013,855068
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/11/2013,"$1,312,779.01",Oppose,Direct Mail Services,SKDKnickerbocker,862192,A2,SE.4409,13940492376,03/20/2013,857757
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/12/2013,"$1,349,511.51",Oppose,Direct Mail Services,SKDKnickerbocker,862195,A3,SE.4387,13940492384,03/20/2013,857767
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/14/2013,"$1,386,244.01",Oppose,Direct Mail Services,SKDKnickerbocker,862198,A2,SE.4390,13940492386,03/20/2013,857769
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$730,364.11",02/15/2013,"$2,125,422.42",Support,Media Buy and Production; also opposes Deborah Halvorson and Toi Hutchinson,SKDKnickerbocker,862199,A2,SE.4443,13940492388,03/20/2013,857772
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$8,814.30",02/15/2013,"$1,395,058.31",Oppose,Direct Mail Services,SKDKnickerbocker,862199,A2,SE.4400,13940492388,03/20/2013,857772
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$11,404.92",02/18/2013,"$2,136,827.34",Support,Media Production; also opposes Deborah Halvorson,SKDKnickerbocker,862200,A2,SE.4445,13940492390,03/20/2013,857773
H8IL11113,"HALVORSON, DEBORAH",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$8,814.30",02/19/2013,"$2,145,641.64",Oppose,Direct Mail Services,SKDKnickerbocker,862205,A1,SE.4414,13940492415,03/20/2013,857775
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$14,822.10",02/21/2013,"$2,160,463.74",Support,Direct Mail Services,SKDKnickerbocker,862209,A1,SE.4420,13940492435,03/20/2013,858063
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$40,290.39",02/21/2013,"$2,200,754.13",Support,Media Production,SKDKnickerbocker,862209,A1,SE.4447,13940492435,03/20/2013,858063
H2IL02172,"KELLY, ROBIN",C00532705,Independence USA PAC,S,IL,02,H,Dem,"$36,732.50",02/22/2013,"$2,237,486.63",Support,Direct Mail Services; also opposes Deborah Halvorson,SKDKnickerbocker,862210,A1,SE.4426,13940492437,03/20/2013,858120
 ,"Markey, Edward",C00486845,LCV Victory Fund,O,MA,00,S, ,"$160,000.00",04/01/2013,"$160,000.00",Support,Field Canvassing Consulting,"Terra Strategies, LLC",863741,N,E66076303DE60408DA1A,13940511212,04/02/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$7,645.00",04/05/2013,"$396,410.43",Support,Doorhangers for Canvassers,Mack Sumner Communications,864139,N,AE9211CA5779B4273AD6,13961248997,04/06/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$625.00",03/01/2013,"$8,566.42",Support,Travel Stipend,"Pfingston, Carson",859580,N,AFD8CB5C93D314D65A7B,13961137633,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$1,441.42",02/28/2013,"$5,441.42",Support,Digital Tracking Equipment Repairs,uBreakiFix,859580,N,A992B5C236A0A488E965,13961137632,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$1,500.00",02/20/2013,"$1,500.00",Support,Polling,Public Policy Polling,859580,N,A0720839AF8044E039D5,13961137632,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$2,500.00",02/27/2013,"$4,000.00",Support,Turnout Modeling,Clarity Campaign Labs LLC,859580,N,AE8429FF0ED084276850,13961137632,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$2,500.00",03/01/2013,"$8,566.42",Support,ESTIMATE: Salary,"Pfingston, Carson",859580,N,A3EED7335A07F485ABFB,13961137633,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$20,000.00",03/05/2013,"$28,686.13",Support,Polling,Peter D. Hart Research Associates,859580,N,A573D99DF8C534EE5882,13961137634,03/07/2013, 
 ,"Markey, Edward",C90005786,"League of Conservation Voters, Inc.",O,MA,00,S, ,"$1,655.47",03/08/2013,"$35,324.59",Support,Office Supplies,"Belnick, Inc.",860106,N,A816A00514FB4424DB21,13961142499,03/11/2013, 
